patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.52,0.17,10.95,mythic,
,,Rafaela,support,57.5,0.83,9.85,mythic,
,,Gloo,tank,56.8,0.61,51.09,mythic,
,,Masha,fighter,56.04,0.06,0.18,mythic,
,,Hanzo,assassin,55.44,0.75,20.21,mythic,
,,Lolita,support,55.2,0.09,0.36,mythic,
,,Argus,fighter,55.18,0.38,0.92,mythic,
,,Sun,fighter,55.01,1.67,51.05,mythic,
,,Minotaur,tank,54.98,0.51,3.91,mythic,
,,Belerick,tank,54.51,1.46,59.92,mythic,
,,Atlas,tank,54.49,0.81,14.28,mythic,
,,Estes,support,54.26,0.64,56.12,mythic,
,,Hanabi,marksman,54.08,4.02,16.03,mythic,
,,Khufra,tank,53.99,0.15,0.49,mythic,
,,Floryn,support,53.93,0.87,20.47,mythic,
,,Miya,marksman,53.54,3.57,18.44,mythic,
,,Popol and Kupa,marksman,53.42,0.35,0.34,mythic,
,,Valir,mage,53.39,1.06,3.39,mythic,
,,Ling,assassin,53.07,0.67,1.93,mythic,
,,Carmilla,support,52.84,0.59,1.75,mythic,
,,Benedetta,assassin,52.81,0.36,0.7,mythic,
,,Zhask,mage,52.71,0.46,0.81,mythic,
,,Khaleed,fighter,52.65,0.13,0.2,mythic,
,,Gord,mage,52.6,0.96,2.49,mythic,
,,Melissa,marksman,52.5,1.12,6.6,mythic,
,,Minsitthar,fighter,52.48,0.77,17.76,mythic,
,,Silvanna,fighter,52.38,1.52,4.33,mythic,
,,Natalia,assassin,52.24,0.41,4.07,mythic,
,,Barats,tank,52.23,0.53,2.05,mythic,
,,Bane,fighter,52.19,0.37,0.24,mythic,
,,Hilda,fighter,52.12,0.81,6.02,mythic,
,,Irithel,marksman,52.08,0.43,0.68,mythic,
,,Diggie,support,52.03,0.17,4.01,mythic,
,,Zetian,mage,51.9,1.29,12.17,mythic,
,,Eudora,mage,51.88,1.91,53.04,mythic,
,,Terizla,fighter,51.67,0.4,0.42,mythic,
,,Cyclops,mage,51.6,0.76,0.39,mythic,
,,Kagura,mage,51.48,0.48,1.15,mythic,
,,Edith,tank,51.46,0.23,0.14,mythic,
,,Vale,mage,51.45,0.78,0.44,mythic,
,,Yi Sun-shin,assassin,51.22,1.25,12.14,mythic,
,,Uranus,tank,51.13,0.4,0.96,mythic,
,,Aamon,assassin,51.03,0.9,6.34,mythic,
,,Lukas,fighter,51.02,0.33,0.98,mythic,
,,Akai,tank,50.95,0.5,8.95,mythic,
,,Kadita,mage,50.93,0.74,6.8,mythic,
,,Vexana,mage,50.77,2.06,2.67,mythic,
,,Guinevere,fighter,50.75,1.04,11.18,mythic,
,,Paquito,fighter,50.72,1.48,54.57,mythic,
,,Badang,fighter,50.68,0.92,0.97,mythic,
,,Leomord,fighter,50.56,0.33,2.22,mythic,
,,Roger,fighter,50.55,0.33,0.16,mythic,
,,Saber,assassin,50.51,1.15,45.16,mythic,
,,Fredrinn,fighter,50.49,0.45,3.36,mythic,
,,Alice,tank,50.47,0.54,5.12,mythic,
,,Aldous,fighter,50.47,0.54,0.77,mythic,
,,Aulus,fighter,50.45,0.23,0.42,mythic,
,,X.Borg,fighter,50.44,0.7,5.39,mythic,
,,Julian,assassin,50.34,1.14,3.02,mythic,
,,Hirara,assassin,50.3,0.43,34.02,mythic,
,,Natan,marksman,50.12,0.24,0.2,mythic,
,,Johnson,tank,50.11,0.96,3.29,mythic,
,,Thamuz,fighter,49.95,1.13,3.91,mythic,
,,Obsidia,marksman,49.88,0.48,1.27,mythic,
,,Lylia,mage,49.86,0.49,0.99,mythic,
,,Yve,mage,49.84,0.03,0.07,mythic,
,,Faramis,support,49.65,0.05,0.37,mythic,
,,Angela,support,49.62,1.58,14.23,mythic,
,,Cecilion,mage,49.6,0.56,0.26,mythic,
,,Alucard,fighter,49.59,0.61,0.62,mythic,
,,Odette,mage,49.53,0.58,0.42,mythic,
,,Suyou,assassin,49.39,0.72,2.15,mythic,
,,Sora,fighter,49.27,0.48,7.74,mythic,
,,Ruby,fighter,49.26,0.35,1.02,mythic,
,,Lapu-Lapu,fighter,49.24,0.39,1.78,mythic,
,,Ixia,marksman,49.2,0.87,2.31,mythic,
,,Aurora,mage,49.13,0.58,0.57,mythic,
,,Dyrroth,fighter,48.94,1.95,2.34,mythic,
,,Beatrix,marksman,48.93,0.59,0.8,mythic,
,,Lunox,mage,48.85,0.16,0.27,mythic,
,,Yu Zhong,fighter,48.83,0.62,2.75,mythic,
,,Hylos,tank,48.8,0.36,1.21,mythic,
,,Novaria,mage,48.78,1.5,7.47,mythic,
,,Yin,fighter,48.74,0.72,3.16,mythic,
,,Phoveus,fighter,48.6,0.26,0.93,mythic,
,,Jawhead,fighter,48.56,0.51,0.68,mythic,
,,Moskov,marksman,48.53,0.83,0.44,mythic,
,,Brody,marksman,48.51,0.52,1.34,mythic,
,,Chang'e,mage,48.51,0.95,0.83,mythic,
,,Esmeralda,tank,48.46,0.82,3.2,mythic,
,,Gusion,assassin,48.42,1.96,7.79,mythic,
,,Helcurt,assassin,48.24,0.92,25.62,mythic,
,,Hayabusa,assassin,48.19,0.68,3.36,mythic,
,,Clint,marksman,48.15,0.55,0.77,mythic,
,,Selena,assassin,48.11,1.16,6.58,mythic,
,,Martis,fighter,48.05,0.58,1.03,mythic,
,,Wanwan,marksman,48.03,0.14,0.28,mythic,
,,Balmond,fighter,48.03,1.14,1.14,mythic,
,,Nana,mage,47.98,1.89,6.0,mythic,
,,Zhuxin,mage,47.94,0.08,0.65,mythic,
,,Claude,marksman,47.88,0.7,0.57,mythic,
,,Layla,marksman,47.86,1.48,1.64,mythic,
,,Nolan,assassin,47.78,0.41,1.13,mythic,
,,Xavier,mage,47.68,0.59,0.24,mythic,
,,Cici,fighter,47.62,0.31,2.48,mythic,
,,Zilong,fighter,47.57,1.01,0.65,mythic,
,,Kaja,support,47.5,0.5,36.02,mythic,
,,Freya,fighter,47.34,0.62,2.79,mythic,
,,Karrie,marksman,47.33,0.58,1.94,mythic,
,,Harley,assassin,47.18,1.23,19.29,mythic,
,,Baxia,tank,47.17,0.07,0.23,mythic,
,,Joy,assassin,47.14,0.11,0.38,mythic,
,,Luo Yi,mage,47.06,0.18,0.12,mythic,
,,Arlott,fighter,47.04,0.32,0.58,mythic,
,,Grock,tank,47.01,0.42,1.53,mythic,
,,Lesley,marksman,46.96,2.04,20.9,mythic,
,,Bruno,marksman,46.87,0.13,0.12,mythic,
,,Pharsa,mage,46.87,0.47,0.41,mythic,
,,Kimmy,marksman,46.4,0.61,0.63,mythic,
,,Chip,support,46.33,0.04,0.61,mythic,
,,Karina,assassin,46.28,0.7,3.13,mythic,
,,Alpha,fighter,46.07,1.13,0.68,mythic,
,,Chou,fighter,46.05,1.19,4.65,mythic,
,,Tigreal,tank,46.0,2.45,13.03,mythic,
,,Gatotkaca,tank,45.53,0.75,0.7,mythic,
,,Harith,mage,45.06,0.14,0.16,mythic,
,,Mathilda,support,44.33,0.11,0.21,mythic,
,,Kalea,support,44.24,0.12,0.47,mythic,
,,Lancelot,assassin,43.43,0.65,0.89,mythic,
,,Franco,tank,42.9,1.24,6.84,mythic,
,,Valentina,mage,42.89,0.07,0.11,mythic,
,,Fanny,assassin,41.0,0.62,2.5,mythic,
,,Granger,marksman,40.16,1.38,3.07,mythic,
