patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
2.1.90,2026-07-08,Marcel,support,58.7,0.26,29.72,mythic,
2.1.90,2026-07-08,Masha,fighter,57.57,0.12,0.42,mythic,
2.1.90,2026-07-08,Rafaela,support,57.28,0.79,6.33,mythic,
2.1.90,2026-07-08,Melissa,marksman,55.31,1.14,3.35,mythic,
2.1.90,2026-07-08,Gloo,tank,55.11,0.58,55.63,mythic,
2.1.90,2026-07-08,Gord,mage,54.92,1.58,4.81,mythic,
2.1.90,2026-07-08,Lolita,support,54.88,0.09,0.38,mythic,
2.1.90,2026-07-08,Khufra,tank,54.77,0.33,2.47,mythic,
2.1.90,2026-07-08,Floryn,support,54.55,1.08,23.42,mythic,
2.1.90,2026-07-08,Minotaur,tank,54.51,0.77,4.94,mythic,
2.1.90,2026-07-08,Atlas,tank,53.83,1.06,21.6,mythic,
2.1.90,2026-07-08,Argus,fighter,53.72,0.4,1.05,mythic,
2.1.90,2026-07-08,Ling,assassin,53.53,1.12,6.09,mythic,
2.1.90,2026-07-08,Sun,fighter,53.38,1.53,49.3,mythic,
2.1.90,2026-07-08,Lukas,fighter,53.33,0.47,3.0,mythic,
2.1.90,2026-07-08,Belerick,tank,53.31,1.56,58.74,mythic,
2.1.90,2026-07-08,Diggie,support,53.23,0.22,5.89,mythic,
2.1.90,2026-07-08,Hanabi,marksman,53.22,3.27,10.8,mythic,
2.1.90,2026-07-08,Popol and Kupa,marksman,52.76,0.29,0.28,mythic,
2.1.90,2026-07-08,Benedetta,assassin,52.66,0.43,0.75,mythic,
2.1.90,2026-07-08,Miya,marksman,52.55,3.3,14.07,mythic,
2.1.90,2026-07-08,Valir,mage,52.29,0.99,2.52,mythic,
2.1.90,2026-07-08,Eudora,mage,52.23,2.26,24.41,mythic,
2.1.90,2026-07-08,Hanzo,assassin,52.23,0.42,4.61,mythic,
2.1.90,2026-07-08,Kaja,support,52.21,0.21,1.77,mythic,
2.1.90,2026-07-08,Barats,tank,52.06,0.46,0.92,mythic,
2.1.90,2026-07-08,Yi Sun-shin,assassin,51.97,1.68,12.88,mythic,
2.1.90,2026-07-08,Irithel,marksman,51.96,0.52,0.52,mythic,
2.1.90,2026-07-08,Estes,support,51.9,0.61,39.62,mythic,
2.1.90,2026-07-08,Minsitthar,fighter,51.86,0.82,17.62,mythic,
2.1.90,2026-07-08,Kadita,mage,51.59,0.88,6.75,mythic,
2.1.90,2026-07-08,Bane,fighter,51.56,0.27,0.2,mythic,
2.1.90,2026-07-08,Carmilla,support,51.5,0.72,1.33,mythic,
2.1.90,2026-07-08,Silvanna,fighter,51.5,1.17,2.75,mythic,
2.1.90,2026-07-08,Fredrinn,fighter,51.48,0.62,5.72,mythic,
2.1.90,2026-07-08,Natalia,assassin,51.48,0.35,2.73,mythic,
2.1.90,2026-07-08,Hirara,assassin,51.37,0.57,45.17,mythic,
2.1.90,2026-07-08,Hilda,fighter,51.32,0.7,5.46,mythic,
2.1.90,2026-07-08,Khaleed,fighter,51.31,0.19,0.2,mythic,
2.1.90,2026-07-08,Guinevere,fighter,51.18,1.27,21.67,mythic,
2.1.90,2026-07-08,Zhask,mage,51.15,0.43,0.65,mythic,
2.1.90,2026-07-08,Terizla,fighter,51.13,0.41,0.34,mythic,
